Antibiotic,Formulation Type,Dose per Unit,Remaining Stock
CEFTRIAXONE,IV vial,1 g per vial,343 vials
NITROFURANTOIN,IV vial,4.5 g per vial,252 vials
TRIMETHOPRIM/SULFA,Oral tablet,160/800 mg per tablet,99 doses
AMPICILLIN/SULBACTAM,IV vial,1.5 g per vial,316 vials
CEFAZOLIN,IV vial,1 g per vial,302 vials
CEFEPIME,IV vial,1 g per vial,286 vials
CEFTAZIDIME,IV vial,1 g per vial,273 vials
CIPROFLOXACIN,Oral tablet,500 mg per tablet,386 doses
PIPERACILLIN/TAZO,IV vial,4.5 g per vial,252 vials
MEROPENEM,IV vial,500 mg per vial,11 vials
GENTAMICIN,IV vial,80 mg/2 mL,331 vials
TOBRAMYCIN,IV vial,80 mg/2 mL,349 vials
AMPICILLIN,Oral capsule,500 mg per capsule,201 doses
